id,superficie_interior_m2,superficie_exterior_m2,numero_habitacions,numero_banos,ano_construccion,lonxitude,latitude,temperatura_media_mes_construccion,tipo_edificacion,calidade_materiais,cor_favorita_propietario,distancia_centro_km,distancia_escola_km,indice_criminalidade,acceso_transporte_publico,orientacion,eficiencia_enerxetica,numero_arboles_xardin,prezo_euros,ln_precio,total_area,ratio_exterior_interior,log_int_area,log_ext_area,area_per_room
13736,48.84,0.0,1,2,1950,-8.26,42.14,25.36,Apartamento,Alta,Amarelo,7.49,4.55,0.66,Regular,Este,A,0,119457,11.690720124140455,48.84,0.0,3.908817874479198,0.0,48.84
23245,189.72,,6,3,1980,-8.96,43.65,20.18,Casa,Media,Negro,77.96,15.24,0.84,Bo,Norte,A,8,305236,12.628843803023466,,,5.250806383876985,,31.62
16065,226.36,91.6,2,3,1955,-8.22,42.72,29.01,Chalet adosado,Alta,Azul,25.32,18.82,0.37,Bo,Oeste,B,8,308143,12.638322485163993,317.96000000000004,0.40466513518289443,5.42653466434879,4.528289141652134,113.18
13926,60.74,38.64,5,2,1942,-9.27,41.99,12.81,Apartamento,Media,Amarelo,12.92,0.05,0.2,Regular,Sur,B,0,75179,11.22764051711817,99.38,0.636154099440237,4.122932019074013,3.6798387094617873,12.148
21650,175.77,97.88,4,2,1983,-8.75,41.89,15.32,Chalet adosado,Media,Branco,52.64,11.08,0.34,Bo,Norte,G,12,227200,12.333590367227897,273.65,0.5568640837458041,5.174849452547792,4.59390699370938,43.9425
17724,290.03,2863.01,2,2,1946,-8.26,43.56,16.94,Casa,Alta,Branco,54.6,12.82,0.68,Regular,Norte,E,1,778860,13.565587875042063,3153.04,9.871427093748924,5.673426354641302,7.959978019694552,145.015
7871,303.77,133.55,2,3,1948,-6.83,43.67,22.29,Casa,Media,Azul,22.94,7.29,0.76,Malo,Oeste,D,9,271454,12.51155165876241,437.32,0.43964183428251646,5.719557393771563,4.901935877172915,151.885
1733,192.28,1127.86,4,3,2000,-7.93,42.55,20.42,Casa,Alta,Amarelo,61.89,13.77,0.48,Bo,Oeste,B,2,461817,13.04292615305543,1320.1399999999999,5.865716663199501,5.26413991474645,7.028963552917628,48.07
6931,30.0,0.0,3,3,2022,-8.26,43.66,22.42,Apartamento,Baixa,Amarelo,13.49,,0.38,Bo,Oeste,E,0,50000,10.819798284210286,30.0,0.0,3.4339872044851463,0.0,10.0
7140,93.28,0.0,1,1,1946,-7.62,43.0,7.46,Apartamento,Alta,Azul,0.1,14.78,0.24,Malo,Oeste,B,0,68969,11.141426906425338,93.28,0.0,4.5462690780679305,0.0,93.28
6974,59.86,20.0,6,2,1947,-8.97,41.83,19.8,Apartamento,Media,Amarelo,10.04,20.08,-0.08,Bo,Este,B,0,85564,11.357031600011553,79.86,0.3341129301703976,4.108576144468825,3.044522437723423,9.976666666666667
25416,140.32,8.76,4,3,1975,-8.42,43.19,11.57,Apartamento,Alta,Amarelo,,10.75,0.53,Regular,Oeste,C,0,166264,12.021338180011929,149.07999999999998,0.062428734321550744,4.951026822490944,2.278292400425001,35.08
19112,109.71,0.0,1,1,1985,-8.44,42.6,29.41,Apartamento,Baixa,Amarelo,3.84,12.42,-0.08,Bo,Norte,D,0,50000,10.819798284210286,109.71,0.0,4.706914169871375,0.0,109.71
15287,310.74,80.45,3,1,1951,-8.5,43.46,22.26,Chalet adosado,Baixa,Verde,71.48,6.09,0.09,Regular,Norte,B,16,306450,12.632813152083623,391.19,0.25889811417905645,5.742169507060905,4.399989335048054,103.58
3895,104.37,784.99,3,1,2023,-6.89,42.04,27.0,Casa,Media,Verde,66.24,11.77,0.25,Regular,Norte,F,10,199480,12.203474272681381,889.36,7.521222573536456,4.657477965611436,6.666944069701962,34.79
8405,72.64,1375.76,5,2,1982,-7.56,42.1,9.23,Casa,Media,Vermello,35.69,12.48,0.63,Malo,Oeste,D,16,180576,12.103912558588018,1448.4,18.93942731277533,4.299188356364877,7.227488191599052,14.528
15388,86.74,18.75,1,1,1996,-7.87,43.27,19.37,Apartamento,Alta,Vermello,0.1,3.29,0.19,Bo,Norte,C,0,92651,11.436605818096815,105.49,0.21616324648374455,4.474377895738068,2.9831534913471307,86.74
15271,30.0,0.0,1,1,1982,-8.5,41.96,10.13,Apartamento,Media,Branco,,4.24,0.28,Malo,Este,C,0,58105,10.970024207731752,30.0,0.0,3.4339872044851463,0.0,30.0
4935,132.86,2741.12,5,2,1950,-7.51,42.06,15.13,Casa,Media,Azul,32.07,0.05,0.2,Bo,Oeste,C,0,434113,12.981062451401138,2873.98,20.631642330272463,4.896794477672496,7.916486622840806,26.572000000000003
14761,120.67,128.6,4,3,1961,-8.09,42.57,15.6,Chalet adosado,Alta,Azul,6.98,17.02,0.53,Regular,Sur,A,19,130677,11.780491561037131,249.26999999999998,1.0657164166735724,4.801312461799358,4.864452783918174,30.1675
12296,103.04,30.99,4,3,2009,-7.19,41.87,10.2,Apartamento,Baixa,Branco,13.99,7.14,0.06,Malo,Norte,D,0,51683,10.852903534842111,134.03,0.30075698757763975,4.64477544058045,3.4654233539614268,25.76
1459,54.23,0.69,3,2,1982,-7.23,41.87,25.64,Apartamento,Media,Azul,10.69,8.61,0.54,Malo,Este,B,0,64242,11.070428047405706,54.919999999999995,0.012723584731698321,4.011506283913096,0.5247285289349821,18.076666666666664
22716,122.62,1272.38,5,1,2012,-7.27,42.74,11.42,Casa,Alta,Branco,77.17,0.05,0.47,Malo,Sur,F,9,283062,12.553424766691357,1395.0,10.376610667101616,4.817212344231128,7.149430061475605,24.524
9685,263.73,,5,2,1954,-9.12,42.98,25.52,Chalet adosado,Media,Verde,79.51,16.03,0.7,Malo,Oeste,A,15,397960,12.894109289515498,,,5.578710438662941,,52.746
19205,139.91,2686.05,6,3,1960,-8.3,42.42,6.84,Casa,Media,Vermello,40.39,,0.32,Regular,Sur,A,8,521193,13.163877612270939,2825.96,19.19841326567079,4.948121388707014,7.8961992165555,23.31833333333333
28537,96.5,0.63,1,3,1950,-8.89,43.74,29.67,Apartamento,Alta,Vermello,13.75,10.5,0.5,Bo,Sur,G,0,102238,11.53506848865586,97.13,0.006528497409326425,4.579852378003801,0.48858001481867097,96.5
22429,109.19,20.4,5,1,1978,-7.52,43.45,10.07,Apartamento,Alta,Vermello,20.36,,0.19,Regular,Este,C,0,84783,11.347862124732544,129.59,0.18683029581463503,4.702206148499686,3.0633909220278057,21.838
7922,84.27,2971.0,3,1,1986,-7.7,42.68,18.65,Casa,Media,Negro,55.61,12.6,,Malo,Sur,D,1,486307,13.09459744700713,3055.27,35.255725643764094,4.445822692753958,7.99699040583765,28.09
22008,285.43,1171.65,2,2,2008,-6.91,42.91,10.76,Casa,Alta,Amarelo,25.94,16.42,0.07,Bo,Sur,A,17,542935,13.204746728249525,1457.0800000000002,4.1048593350383635,5.65749417820409,7.067021423907586,142.715
23142,185.58,2568.66,4,2,1956,-6.86,42.16,23.6,Casa,Alta,Azul,58.53,0.05,0.45,Bo,Sur,G,1,455940,13.030118694160524,2754.24,13.841254445522145,5.228860101532815,7.85152887341757,46.395
26811,111.52,0.0,1,3,2003,-6.86,41.81,7.68,Apartamento,Media,Azul,4.38,14.6,0.2,Bo,Este,D,0,129268,11.769650783501186,111.52,0.0,4.723130983621656,0.0,111.52
8608,216.1,1108.35,4,3,1954,-6.82,41.97,16.22,Casa,Baixa,Negro,67.98,15.31,0.58,Bo,Este,E,12,280868,12.54564364744371,1324.4499999999998,5.128875520592318,5.380358076884246,7.011529537198591,54.025
6000,129.87,0.0,6,3,1992,-8.1,41.87,24.46,Apartamento,Media,Negro,21.33,16.49,0.46,Bo,Este,D,0,106353,11.574528431580697,129.87,0.0,4.87420446406739,0.0,21.645
28616,256.46,1624.28,5,2,1983,-8.26,43.69,13.93,Casa,Media,Azul,23.61,10.25,,Bo,Sur,B,7,532185,13.184748331279682,1880.74,6.333463308118225,5.550864368231489,7.39343538761288,51.291999999999994
7217,,2.15,3,3,1985,-7.39,43.66,20.51,Apartamento,Baixa,Branco,5.45,20.6,0.21,Bo,Sur,G,0,50000,10.819798284210286,,,,1.1474024528375417,
9660,60.73,16.35,6,1,1945,-8.72,43.01,12.11,Apartamento,Alta,Negro,10.31,15.82,0.18,Bo,Sur,G,0,89610,11.403233359284808,77.08,0.26922443602832213,4.122770036405805,2.8535925063928684,10.121666666666666
8919,230.95,1810.56,4,3,1941,-7.78,42.88,13.56,Casa,Alta,Amarelo,72.98,2.05,0.17,Bo,Sur,E,6,585825,13.28077809613956,2041.51,7.839618965143971,5.446521831197753,7.501943631508949,57.7375
5793,121.33,0.0,6,1,1969,-8.68,43.12,18.94,Apartamento,Media,Verde,28.35,7.31,0.24,Bo,Sur,D,0,90795,11.416370510755593,121.33,0.0,4.806722311058825,0.0,20.221666666666668
26556,132.18,,1,3,1973,-7.98,42.95,5.47,Casa,Media,Amarelo,77.71,0.05,0.44,Bo,Oeste,G,15,309834,12.643795176697207,,,4.891701596682476,,132.18
2302,88.62,0.0,4,2,2020,-8.34,43.41,5.97,Apartamento,Media,Branco,18.08,7.43,0.54,Regular,Oeste,E,0,50000,10.819798284210286,88.62,0.0,4.495578509357997,0.0,22.155
7286,96.63,0.0,5,2,1995,-8.63,42.03,29.93,Apartamento,Media,Negro,12.65,10.85,0.1,Regular,Este,D,0,86833,11.371753529021163,96.63,0.0,4.58118482323758,0.0,19.326
9443,100.32,0.0,2,1,1980,-8.1,42.27,23.47,Apartamento,Alta,Vermello,9.2,25.44,0.46,Bo,Oeste,D,0,68629,11.13648503590268,100.32,0.0,4.618283825133474,0.0,50.16
380,257.85,1403.2,3,3,1942,-7.6,43.19,7.94,Casa,Media,Negro,55.16,18.08,0.33,Bo,Norte,C,1,527657,13.176203625549732,1661.0500000000002,5.441923598991662,5.55624874334791,7.247223024583149,85.95
26393,167.61,,5,1,1994,-7.57,42.67,12.67,Chalet adosado,Alta,Negro,,14.62,-0.04,Bo,Norte,D,16,252704,12.439978079488414,,,5.127588355789889,,33.522000000000006
3951,81.51,2521.39,2,3,1987,-7.7,43.36,8.69,Casa,Media,Azul,15.97,10.39,0.51,Bo,Sur,F,19,360882,12.79630908506036,2602.9,30.933505091399823,4.412919498116252,7.832962143744718,40.755
18839,30.0,14.07,6,3,2022,-7.12,43.15,25.26,Apartamento,Media,Negro,7.62,,,Bo,Norte,F,0,50000,10.819798284210286,44.07,0.46900000000000003,3.4339872044851463,2.712706012638404,5.0
16842,93.58,0.0,3,3,1953,-9.29,42.24,9.26,Apartamento,Media,Branco,6.56,28.76,0.56,Malo,Sur,A,0,111649,11.623124257268303,93.58,0.0,4.54944603721573,0.0,31.19333333333333
16109,60.74,0.0,4,1,1952,-8.55,43.47,9.66,Apartamento,Media,Negro,8.39,6.82,0.43,Bo,Norte,B,0,171596,12.052903983365695,60.74,0.0,4.122932019074013,0.0,15.185
8612,83.99,569.97,4,2,1965,-8.85,43.58,23.8,Casa,Media,Branco,,16.78,0.74,Regular,Oeste,D,4,154491,11.947897594044035,653.96,6.786165019645197,4.442533602510535,6.347336668871214,20.9975
19450,226.53,1619.09,3,3,2016,-7.5,42.88,8.85,Casa,Media,Branco,43.59,8.77,0.28,Bo,Sur,B,8,564302,13.243346620264205,1845.62,7.1473535514059945,5.4272820978290355,7.390236982238832,75.51
6052,49.56,0.0,4,2,1955,-7.14,43.73,7.4,Apartamento,Baixa,Amarelo,0.58,22.4,0.37,Bo,Oeste,B,0,54764,10.910806582757846,49.56,0.0,3.923160749838602,0.0,12.39
4510,37.64,0.0,2,1,2008,-8.57,43.27,7.92,Apartamento,Media,Amarelo,8.5,12.6,0.26,Bo,Este,G,0,50000,10.819798284210286,37.64,0.0,3.654288009344317,0.0,18.82
9120,95.05,12.98,2,2,1990,-8.51,41.86,27.41,Apartamento,Alta,Branco,19.53,8.49,0.03,Regular,Este,C,0,58988,10.985106264827667,108.03,0.13655970541820095,4.564868889214566,2.637627736805664,47.525
29378,143.04,79.04,6,1,1982,-6.9,43.12,28.88,Chalet adosado,Media,Negro,,,0.55,Bo,Este,F,7,144553,11.88140841914741,222.07999999999998,0.5525727069351232,4.970091038780675,4.382526509715532,23.84
7186,143.86,159.36,6,2,2010,-7.83,43.66,16.06,Chalet adosado,Alta,Negro,51.85,17.31,0.27,Bo,Norte,D,4,265681,12.490055383875351,303.22,1.1077436396496594,4.97576775876718,5.077421287774306,23.97666666666667
27057,106.52,98.82,5,1,2022,-8.57,41.88,22.82,Casa,Media,Vermello,21.59,15.33,0.6,Bo,Este,D,1,81099,11.303438240103505,205.33999999999997,0.9277131055200901,4.677676876774839,4.603368564041463,21.304
23080,162.33,0.0,4,3,2022,-7.61,42.46,22.01,Apartamento,Media,Negro,6.42,12.32,0.06,Bo,Norte,A,0,179684,12.09896059683354,162.33,0.0,5.095772694065048,0.0,40.5825
26969,286.14,52.54,4,3,1984,-7.42,42.58,22.8,Chalet adosado,Alta,Azul,67.11,10.14,0.11,Bo,Este,G,4,319512,12.67455324054787,338.68,0.18361641154679528,5.659969901699548,3.9804290380922063,71.535
400,64.52,0.0,5,2,1975,-7.07,43.76,9.2,Apartamento,Media,Azul,2.95,9.86,0.16,Regular,Sur,C,0,50000,10.819798284210286,64.52,0.0,4.182355439544814,0.0,12.904
15789,90.38,22.23,2,3,2016,-6.72,42.57,14.05,Apartamento,Media,Branco,16.64,1.41,0.14,Bo,Norte,G,0,81047,11.302796850733513,112.61,0.24596149590617394,4.515026636135126,3.1454445467823176,45.19
28634,161.75,2557.38,3,3,1980,-7.33,42.04,9.88,Casa,Media,Vermello,64.53,21.79,0.54,Malo,Este,B,13,502852,13.128053159848665,2719.13,15.810695517774343,5.092215281088679,7.847129524663268,53.916666666666664
2504,140.44,0.0,1,3,1960,-7.31,42.4,26.29,Apartamento,Media,Amarelo,13.46,5.67,0.27,Bo,Oeste,C,0,55396,10.922280719644574,140.44,0.0,4.951875598889333,0.0,140.44
8060,95.8,930.7,4,2,1940,-7.66,42.49,7.99,Casa,Media,Amarelo,47.3,12.24,0.95,Bo,Sur,C,18,242408,12.398381661200915,1026.5,9.715031315240084,4.572646994282532,6.83701087445638,23.95
21240,307.2,364.04,1,1,1991,-8.8,43.6,24.95,Casa,Media,Branco,2.37,11.87,0.28,Malo,Sur,C,11,455884,13.02999586370807,671.24,1.1850260416666667,5.730748922886015,5.900006936619147,307.2
9771,111.42,89.59,1,2,1967,-8.84,42.78,5.0,Chalet adosado,Media,Verde,53.28,9.7,0.45,Malo,Norte,D,1,196609,12.188977350101537,201.01,0.8040746724106983,4.722241857573929,4.506343831681196,111.42
11266,111.26,,4,3,1941,-7.92,42.38,16.4,Casa,Media,Vermello,81.05,16.49,0.6,Bo,Oeste,C,4,231309,12.351514081180346,,,4.720817609514054,,27.815
28209,174.8,0.0,3,1,1953,-7.55,43.6,18.69,Apartamento,Baixa,Amarelo,12.39,19.73,0.42,Bo,Oeste,C,0,106466,11.57559035696042,174.8,0.0,5.169346985251076,0.0,58.26666666666667
12966,156.97,3010.08,2,3,1956,-8.54,42.31,7.62,Casa,Media,Branco,42.69,14.22,0.38,Regular,Este,B,13,487908,13.097884192036748,3167.0499999999997,19.176148308593998,5.062405141581006,8.010054097374875,78.485
29737,168.74,2919.19,2,3,1980,-8.51,43.12,24.22,Casa,Baixa,Branco,9.58,5.1,0.22,Bo,Norte,B,17,524166,13.169565614818469,3087.9300000000003,17.299928884674646,5.134267854541531,7.979403961638615,84.37
10085,57.65,36.42,4,3,2013,-8.51,43.02,26.26,Apartamento,Media,Branco,6.33,12.59,0.31,Bo,Norte,A,0,137958,11.834711818546687,94.07,0.6317432784041631,4.0715875750994845,3.6222053208459437,14.4125
26381,328.15,209.13,5,3,1949,-8.22,43.06,26.56,Chalet adosado,Alta,Negro,17.3,6.77,0.29,Bo,Sur,B,7,462870,13.045203676536662,537.28,0.6373000152369344,5.796513573913885,5.347726386805579,65.63
25153,154.3,129.37,4,2,1955,-8.86,43.35,5.39,Chalet adosado,Media,Verde,3.56,3.68,0.34,Bo,Sur,D,19,208490,12.247651153821712,283.67,0.8384316267012313,5.045358730154642,4.8703765616746875,38.575
24416,95.51,62.35,1,3,1968,-7.08,43.16,18.88,Chalet adosado,Media,Amarelo,55.75,4.34,0.01,Bo,Oeste,F,7,50000,10.819798284210286,157.86,0.6528112239556068,4.569646629919045,4.148674906767148,95.51
5372,163.89,1110.63,5,3,2002,-7.0,42.71,14.95,Casa,Alta,Vermello,60.61,0.05,0.41,Bo,Norte,B,10,385627,12.862628453190135,1274.52,6.776679480139119,5.105278584912877,7.013582685629401,32.778
12541,68.38,22.89,3,3,2014,-7.97,42.24,21.17,Apartamento,Baixa,Verde,8.3,2.41,0.19,Bo,Oeste,F,0,110192,11.609988652812271,91.27,0.3347470020473823,4.239598641541604,3.173459961337718,22.793333333333333
13171,197.36,2841.09,1,1,2023,-8.55,42.54,17.91,Casa,Media,Verde,62.06,27.13,0.56,Bo,Sur,E,1,572771,13.258243010752212,3038.4500000000003,14.39547020672882,5.290083561620933,7.95229497599518,197.36
19749,30.0,0.0,4,2,2011,-7.31,42.18,23.18,Apartamento,Alta,Amarelo,16.24,19.75,0.1,Regular,Sur,D,0,71357,11.1754647399553,30.0,0.0,3.4339872044851463,0.0,7.5
2423,174.53,1387.3,3,1,2023,-7.01,42.37,19.98,Casa,Media,Vermello,52.72,1.62,0.15,Malo,Sur,D,0,367022,12.813179795372733,1561.83,7.948776714604938,5.167809968468254,7.235835256040756,58.17666666666667
11725,,1915.56,1,1,1947,-7.67,43.66,13.31,Casa,Baixa,Amarelo,29.76,14.23,0.43,Bo,Oeste,B,16,458693,13.03613860005498,,,,7.5582871914007335,
468,210.16,665.28,2,3,2013,-7.69,42.14,6.01,Casa,Baixa,Branco,0.1,0.69,0.29,Regular,Norte,C,7,275719,12.527141136999589,875.4399999999999,3.165588123334602,5.3526161399554155,6.501710002608907,105.08
12839,153.24,0.0,6,3,1953,-8.45,41.86,20.52,Apartamento,Media,Amarelo,19.07,7.76,0.2,Bo,Sur,D,0,139519,11.845963239142806,153.24,0.0,5.038509830862235,0.0,25.540000000000003
19813,213.2,92.66,1,3,1992,-8.06,42.58,27.43,Chalet adosado,Media,Verde,11.97,25.74,0.35,Bo,Norte,F,3,250238,12.430171740167415,305.86,0.4346153846153846,5.366910158013648,4.539671203755396,213.2
19420,41.08,0.0,6,2,2011,-8.98,42.14,15.86,Apartamento,Media,Amarelo,3.75,22.39,0.28,Bo,Oeste,G,0,68992,11.141760329157709,41.08,0.0,3.7395725684294545,0.0,6.846666666666667
26766,238.52,4.0,2,3,1942,-7.49,42.99,19.14,Chalet adosado,Alta,Verde,17.65,15.71,0.55,Bo,Oeste,B,1,326103,12.694971627878202,242.52,0.01677008217340265,5.478636920671319,1.6094379124341003,119.26
23936,148.35,0.0,1,3,1973,-8.76,43.23,9.93,Apartamento,Media,Amarelo,0.1,12.35,0.38,Bo,Sur,D,0,119849,11.69399623986253,148.35,0.0,5.006292544662119,0.0,148.35
29200,30.0,0.0,5,2,1959,-7.52,42.24,6.82,Apartamento,Alta,Vermello,7.04,7.83,0.46,Bo,Sur,E,0,50000,10.819798284210286,30.0,0.0,3.4339872044851463,0.0,6.0
29763,126.34,5.89,3,3,1986,-9.02,42.29,29.76,Apartamento,Alta,Negro,0.1,0.64,0.26,Bo,Oeste,E,0,116778,11.668038538690743,132.23,0.04662023112236821,4.846860674588879,1.9300710850255671,42.11333333333334
12736,167.67,207.14,2,2,1960,-7.14,43.1,25.47,Chalet adosado,Alta,Azul,11.72,1.47,,Bo,Este,E,8,220470,12.303521445945243,374.80999999999995,1.2354028746943402,5.127944143269923,5.338210930209713,83.835
24184,134.18,727.3,4,1,2024,-9.03,41.84,15.09,Casa,Media,Amarelo,3.56,14.72,0.21,Malo,Oeste,D,6,241890,12.396242490449177,861.48,5.420330898792666,4.906607223672208,6.59071305122387,33.545
7783,228.21,1677.1,4,1,2011,-8.7,43.41,22.09,Casa,Alta,Amarelo,16.55,8.93,0.55,Regular,Oeste,G,7,542378,13.203720298044649,1905.31,7.348933000306735,5.434638613906275,7.425417480007116,57.0525
8624,115.57,15.52,4,1,1990,-8.37,43.09,16.31,Apartamento,Media,Negro,14.75,4.83,0.14,Bo,Sur,D,0,117695,11.675860307963992,131.09,0.13429090594444926,4.758491950931741,2.804571768092832,28.8925
26627,54.19,0.0,2,3,2008,-6.9,42.01,13.45,Apartamento,Media,Vermello,12.96,10.04,0.39,Bo,Norte,G,0,68963,11.141339908295741,54.19,0.0,4.01078177745141,0.0,27.095
14889,284.44,95.11,2,1,1992,-7.23,41.9,18.09,Chalet adosado,Media,Negro,,6.87,0.72,Regular,Norte,A,2,286859,12.566749570848204,379.55,0.33437631837997467,5.654031849391645,4.565493368835193,142.22
408,170.3,13.79,6,3,2019,-8.91,42.86,15.96,Apartamento,Alta,Negro,1.35,16.11,0.62,Regular,Norte,B,0,192411,12.167394185331181,184.09,0.08097475044039928,5.143416405330075,2.6939512767227085,28.383333333333336
8426,80.63,19.26,2,3,2004,-7.09,43.16,29.16,Apartamento,Baixa,Branco,11.85,9.82,0.02,Bo,Norte,A,0,76400,11.243751064074187,99.89,0.2388689073545827,4.402196841463264,3.0086484988205373,40.315
8995,75.43,0.0,5,3,1992,-7.98,42.99,17.07,Apartamento,Media,Amarelo,15.07,0.05,,Malo,Este,E,0,79674,11.285711139285537,75.43,0.0,4.336375289254793,0.0,15.086000000000002
13048,71.12,0.0,5,2,1989,-8.63,43.11,14.05,Apartamento,Baixa,Azul,23.46,8.33,0.32,Bo,Este,A,0,173798,12.065654738056946,71.12,0.0,4.2783313983351166,0.0,14.224
18093,91.36,232.33,3,1,1971,-6.96,43.71,11.36,Casa,Alta,Vermello,82.03,,0.35,Regular,Sur,F,18,132924,11.797540338372539,323.69,2.5430166374781087,4.525693984486295,5.452453760558967,30.453333333333333
6688,127.64,1603.36,6,2,2016,-7.51,42.14,10.19,Casa,Alta,Branco,11.18,19.02,0.37,Bo,Sur,C,6,358545,12.78981224320331,1731.0,12.561579442181134,4.857017805430656,7.38048020214656,21.273333333333333
27990,97.88,0.0,1,3,1995,-8.49,41.85,22.21,Apartamento,Baixa,Azul,17.22,15.49,-0.15,Regular,Este,E,0,118601,11.683528628809984,97.88,0.0,4.59390699370938,0.0,97.88
26064,129.16,23.96,4,2,1986,-8.34,42.59,15.77,Apartamento,Media,Azul,,21.37,0.1,Bo,Este,E,0,188005,12.144229156196435,153.12,0.1855063487147724,4.868764462910782,3.217274543501227,32.29
17837,109.44,623.49,5,1,2001,-7.07,42.16,5.53,Casa,Baixa,Vermello,67.35,15.96,0.1,Bo,Sur,F,11,146803,11.896853642747736,732.9300000000001,5.697094298245614,4.704472387061954,6.436935316627178,21.887999999999998
8844,276.84,1401.33,5,1,1959,-8.95,42.09,14.82,Casa,Media,Branco,65.38,8.33,0.39,Bo,Norte,C,3,566832,13.24782000669877,1678.1699999999998,5.0618768964022545,5.627045408435818,7.245890417928856,55.367999999999995
18652,,0.0,5,1,1989,-8.07,42.2,9.51,Apartamento,Media,Amarelo,18.94,9.84,0.28,Bo,Norte,A,0,105784,11.569164011417417,,,,0.0,
