id,superficie_interior_m2,superficie_exterior_m2,numero_habitacions,numero_banos,ano_construccion,lonxitude,latitude,temperatura_media_mes_construccion,tipo_edificacion,calidade_materiais,cor_favorita_propietario,distancia_centro_km,distancia_escola_km,indice_criminalidade,acceso_transporte_publico,orientacion,eficiencia_enerxetica,numero_arboles_xardin,prezo_euros
15388,86.74,18.75,1,1,1996,-7.87,43.27,19.37,Apartamento,Alta,Vermello,0.10,3.29,0.19,Bo,Norte,C,0,92651
15271,30.00,0.00,1,1,1982,-8.50,41.96,10.13,Apartamento,Media,Branco,,4.24,0.28,Malo,Este,C,0,58105
4935,132.86,2741.12,5,2,1950,-7.51,42.06,15.13,Casa,Media,Azul,32.07,0.05,0.20,Bo,Oeste,C,0,434113
14761,120.67,128.60,4,3,1961,-8.09,42.57,15.60,Chalet adosado,Alta,Azul,6.98,17.02,0.53,Regular,Sur,A,19,130677
12296,103.04,30.99,4,3,2009,-7.19,41.87,10.20,Apartamento,Baixa,Branco,13.99,7.14,0.06,Malo,Norte,D,0,51683
1459,54.23,0.69,3,2,1982,-7.23,41.87,25.64,Apartamento,Media,Azul,10.69,8.61,0.54,Malo,Este,B,0,64242
22716,122.62,1272.38,5,1,2012,-7.27,42.74,11.42,Casa,Alta,Branco,77.17,0.05,0.47,Malo,Sur,F,9,283062
9685,263.73,,5,2,1954,-9.12,42.98,25.52,Chalet adosado,Media,Verde,79.51,16.03,0.70,Malo,Oeste,A,15,397960
19205,139.91,2686.05,6,3,1960,-8.30,42.42,6.84,Casa,Media,Vermello,40.39,,0.32,Regular,Sur,A,8,521193
28537,96.50,0.63,1,3,1950,-8.89,43.74,29.67,Apartamento,Alta,Vermello,13.75,10.50,0.50,Bo,Sur,G,0,102238
22429,109.19,20.40,5,1,1978,-7.52,43.45,10.07,Apartamento,Alta,Vermello,20.36,,0.19,Regular,Este,C,0,84783
7922,84.27,2971.00,3,1,1986,-7.70,42.68,18.65,Casa,Media,Negro,55.61,12.60,,Malo,Sur,D,1,486307
22008,285.43,1171.65,2,2,2008,-6.91,42.91,10.76,Casa,Alta,Amarelo,25.94,16.42,0.07,Bo,Sur,A,17,542935
23142,185.58,2568.66,4,2,1956,-6.86,42.16,23.60,Casa,Alta,Azul,58.53,0.05,0.45,Bo,Sur,G,1,455940
26811,111.52,0.00,1,3,2003,-6.86,41.81,7.68,Apartamento,Media,Azul,4.38,14.60,0.20,Bo,Este,D,0,129268
8608,216.10,1108.35,4,3,1954,-6.82,41.97,16.22,Casa,Baixa,Negro,67.98,15.31,0.58,Bo,Este,E,12,280868
6000,129.87,0.00,6,3,1992,-8.10,41.87,24.46,Apartamento,Media,Negro,21.33,16.49,0.46,Bo,Este,D,0,106353
28616,256.46,1624.28,5,2,1983,-8.26,43.69,13.93,Casa,Media,Azul,23.61,10.25,,Bo,Sur,B,7,532185
7217,,2.15,3,3,1985,-7.39,43.66,20.51,Apartamento,Baixa,Branco,5.45,20.60,0.21,Bo,Sur,G,0,50000
9660,60.73,16.35,6,1,1945,-8.72,43.01,12.11,Apartamento,Alta,Negro,10.31,15.82,0.18,Bo,Sur,G,0,89610
8919,230.95,1810.56,4,3,1941,-7.78,42.88,13.56,Casa,Alta,Amarelo,72.98,2.05,0.17,Bo,Sur,E,6,585825
5793,121.33,0.00,6,1,1969,-8.68,43.12,18.94,Apartamento,Media,Verde,28.35,7.31,0.24,Bo,Sur,D,0,90795
26556,132.18,,1,3,1973,-7.98,42.95,5.47,Casa,Media,Amarelo,77.71,0.05,0.44,Bo,Oeste,G,15,309834
2302,88.62,0.00,4,2,2020,-8.34,43.41,5.97,Apartamento,Media,Branco,18.08,7.43,0.54,Regular,Oeste,E,0,50000
7286,96.63,0.00,5,2,1995,-8.63,42.03,29.93,Apartamento,Media,Negro,12.65,10.85,0.10,Regular,Este,D,0,86833
9443,100.32,0.00,2,1,1980,-8.10,42.27,23.47,Apartamento,Alta,Vermello,9.20,25.44,0.46,Bo,Oeste,D,0,68629
380,257.85,1403.20,3,3,1942,-7.60,43.19,7.94,Casa,Media,Negro,55.16,18.08,0.33,Bo,Norte,C,1,527657
26393,167.61,,5,1,1994,-7.57,42.67,12.67,Chalet adosado,Alta,Negro,,14.62,-0.04,Bo,Norte,D,16,252704
3951,81.51,2521.39,2,3,1987,-7.70,43.36,8.69,Casa,Media,Azul,15.97,10.39,0.51,Bo,Sur,F,19,360882
18839,30.00,14.07,6,3,2022,-7.12,43.15,25.26,Apartamento,Media,Negro,7.62,,,Bo,Norte,F,0,50000
16842,93.58,0.00,3,3,1953,-9.29,42.24,9.26,Apartamento,Media,Branco,6.56,28.76,0.56,Malo,Sur,A,0,111649
16109,60.74,0.00,4,1,1952,-8.55,43.47,9.66,Apartamento,Media,Negro,8.39,6.82,0.43,Bo,Norte,B,0,171596
8612,83.99,569.97,4,2,1965,-8.85,43.58,23.80,Casa,Media,Branco,,16.78,0.74,Regular,Oeste,D,4,154491
19450,226.53,1619.09,3,3,2016,-7.50,42.88,8.85,Casa,Media,Branco,43.59,8.77,0.28,Bo,Sur,B,8,564302
6052,49.56,0.00,4,2,1955,-7.14,43.73,7.40,Apartamento,Baixa,Amarelo,0.58,22.40,0.37,Bo,Oeste,B,0,54764
4510,37.64,0.00,2,1,2008,-8.57,43.27,7.92,Apartamento,Media,Amarelo,8.50,12.60,0.26,Bo,Este,G,0,50000
9120,95.05,12.98,2,2,1990,-8.51,41.86,27.41,Apartamento,Alta,Branco,19.53,8.49,0.03,Regular,Este,C,0,58988
29378,143.04,79.04,6,1,1982,-6.90,43.12,28.88,Chalet adosado,Media,Negro,,,0.55,Bo,Este,F,7,144553
7186,143.86,159.36,6,2,2010,-7.83,43.66,16.06,Chalet adosado,Alta,Negro,51.85,17.31,0.27,Bo,Norte,D,4,265681
27057,106.52,98.82,5,1,2022,-8.57,41.88,22.82,Casa,Media,Vermello,21.59,15.33,0.60,Bo,Este,D,1,81099
23080,162.33,0.00,4,3,2022,-7.61,42.46,22.01,Apartamento,Media,Negro,6.42,12.32,0.06,Bo,Norte,A,0,179684
26969,286.14,52.54,4,3,1984,-7.42,42.58,22.80,Chalet adosado,Alta,Azul,67.11,10.14,0.11,Bo,Este,G,4,319512
400,64.52,0.00,5,2,1975,-7.07,43.76,9.20,Apartamento,Media,Azul,2.95,9.86,0.16,Regular,Sur,C,0,50000
15789,90.38,22.23,2,3,2016,-6.72,42.57,14.05,Apartamento,Media,Branco,16.64,1.41,0.14,Bo,Norte,G,0,81047
28634,161.75,2557.38,3,3,1980,-7.33,42.04,9.88,Casa,Media,Vermello,64.53,21.79,0.54,Malo,Este,B,13,502852
2504,140.44,0.00,1,3,1960,-7.31,42.40,26.29,Apartamento,Media,Amarelo,13.46,5.67,0.27,Bo,Oeste,C,0,55396
8060,95.80,930.70,4,2,1940,-7.66,42.49,7.99,Casa,Media,Amarelo,47.30,12.24,0.95,Bo,Sur,C,18,242408
21240,307.20,364.04,1,1,1991,-8.80,43.60,24.95,Casa,Media,Branco,2.37,11.87,0.28,Malo,Sur,C,11,455884
9771,111.42,89.59,1,2,1967,-8.84,42.78,5.00,Chalet adosado,Media,Verde,53.28,9.70,0.45,Malo,Norte,D,1,196609
11266,111.26,,4,3,1941,-7.92,42.38,16.40,Casa,Media,Vermello,81.05,16.49,0.60,Bo,Oeste,C,4,231309
28209,174.80,0.00,3,1,1953,-7.55,43.60,18.69,Apartamento,Baixa,Amarelo,12.39,19.73,0.42,Bo,Oeste,C,0,106466
12966,156.97,3010.08,2,3,1956,-8.54,42.31,7.62,Casa,Media,Branco,42.69,14.22,0.38,Regular,Este,B,13,487908
29737,168.74,2919.19,2,3,1980,-8.51,43.12,24.22,Casa,Baixa,Branco,9.58,5.10,0.22,Bo,Norte,B,17,524166
10085,57.65,36.42,4,3,2013,-8.51,43.02,26.26,Apartamento,Media,Branco,6.33,12.59,0.31,Bo,Norte,A,0,137958
26381,328.15,209.13,5,3,1949,-8.22,43.06,26.56,Chalet adosado,Alta,Negro,17.30,6.77,0.29,Bo,Sur,B,7,462870
25153,154.30,129.37,4,2,1955,-8.86,43.35,5.39,Chalet adosado,Media,Verde,3.56,3.68,0.34,Bo,Sur,D,19,208490
24416,95.51,62.35,1,3,1968,-7.08,43.16,18.88,Chalet adosado,Media,Amarelo,55.75,4.34,0.01,Bo,Oeste,F,7,50000
5372,163.89,1110.63,5,3,2002,-7.00,42.71,14.95,Casa,Alta,Vermello,60.61,0.05,0.41,Bo,Norte,B,10,385627
12541,68.38,22.89,3,3,2014,-7.97,42.24,21.17,Apartamento,Baixa,Verde,8.30,2.41,0.19,Bo,Oeste,F,0,110192
13171,197.36,2841.09,1,1,2023,-8.55,42.54,17.91,Casa,Media,Verde,62.06,27.13,0.56,Bo,Sur,E,1,572771
19749,30.00,0.00,4,2,2011,-7.31,42.18,23.18,Apartamento,Alta,Amarelo,16.24,19.75,0.10,Regular,Sur,D,0,71357
2423,174.53,1387.30,3,1,2023,-7.01,42.37,19.98,Casa,Media,Vermello,52.72,1.62,0.15,Malo,Sur,D,0,367022
11725,,1915.56,1,1,1947,-7.67,43.66,13.31,Casa,Baixa,Amarelo,29.76,14.23,0.43,Bo,Oeste,B,16,458693
468,210.16,665.28,2,3,2013,-7.69,42.14,6.01,Casa,Baixa,Branco,0.10,0.69,0.29,Regular,Norte,C,7,275719
12839,153.24,0.00,6,3,1953,-8.45,41.86,20.52,Apartamento,Media,Amarelo,19.07,7.76,0.20,Bo,Sur,D,0,139519
19813,213.20,92.66,1,3,1992,-8.06,42.58,27.43,Chalet adosado,Media,Verde,11.97,25.74,0.35,Bo,Norte,F,3,250238
19420,41.08,0.00,6,2,2011,-8.98,42.14,15.86,Apartamento,Media,Amarelo,3.75,22.39,0.28,Bo,Oeste,G,0,68992
26766,238.52,4.00,2,3,1942,-7.49,42.99,19.14,Chalet adosado,Alta,Verde,17.65,15.71,0.55,Bo,Oeste,B,1,326103
23936,148.35,0.00,1,3,1973,-8.76,43.23,9.93,Apartamento,Media,Amarelo,0.10,12.35,0.38,Bo,Sur,D,0,119849
29200,30.00,0.00,5,2,1959,-7.52,42.24,6.82,Apartamento,Alta,Vermello,7.04,7.83,0.46,Bo,Sur,E,0,50000
29763,126.34,5.89,3,3,1986,-9.02,42.29,29.76,Apartamento,Alta,Negro,0.10,0.64,0.26,Bo,Oeste,E,0,116778
12736,167.67,207.14,2,2,1960,-7.14,43.10,25.47,Chalet adosado,Alta,Azul,11.72,1.47,,Bo,Este,E,8,220470
24184,134.18,727.30,4,1,2024,-9.03,41.84,15.09,Casa,Media,Amarelo,3.56,14.72,0.21,Malo,Oeste,D,6,241890
7783,228.21,1677.10,4,1,2011,-8.70,43.41,22.09,Casa,Alta,Amarelo,16.55,8.93,0.55,Regular,Oeste,G,7,542378
8624,115.57,15.52,4,1,1990,-8.37,43.09,16.31,Apartamento,Media,Negro,14.75,4.83,0.14,Bo,Sur,D,0,117695
26627,54.19,0.00,2,3,2008,-6.90,42.01,13.45,Apartamento,Media,Vermello,12.96,10.04,0.39,Bo,Norte,G,0,68963
14889,284.44,95.11,2,1,1992,-7.23,41.90,18.09,Chalet adosado,Media,Negro,,6.87,0.72,Regular,Norte,A,2,286859
408,170.30,13.79,6,3,2019,-8.91,42.86,15.96,Apartamento,Alta,Negro,1.35,16.11,0.62,Regular,Norte,B,0,192411
8426,80.63,19.26,2,3,2004,-7.09,43.16,29.16,Apartamento,Baixa,Branco,11.85,9.82,0.02,Bo,Norte,A,0,76400
8995,75.43,0.00,5,3,1992,-7.98,42.99,17.07,Apartamento,Media,Amarelo,15.07,0.05,,Malo,Este,E,0,79674
13048,71.12,0.00,5,2,1989,-8.63,43.11,14.05,Apartamento,Baixa,Azul,23.46,8.33,0.32,Bo,Este,A,0,173798
18093,91.36,232.33,3,1,1971,-6.96,43.71,11.36,Casa,Alta,Vermello,82.03,,0.35,Regular,Sur,F,18,132924
6688,127.64,1603.36,6,2,2016,-7.51,42.14,10.19,Casa,Alta,Branco,11.18,19.02,0.37,Bo,Sur,C,6,358545
27990,97.88,0.00,1,3,1995,-8.49,41.85,22.21,Apartamento,Baixa,Azul,17.22,15.49,-0.15,Regular,Este,E,0,118601
26064,129.16,23.96,4,2,1986,-8.34,42.59,15.77,Apartamento,Media,Azul,,21.37,0.10,Bo,Este,E,0,188005
17837,109.44,623.49,5,1,2001,-7.07,42.16,5.53,Casa,Baixa,Vermello,67.35,15.96,0.10,Bo,Sur,F,11,146803
8844,276.84,1401.33,5,1,1959,-8.95,42.09,14.82,Casa,Media,Branco,65.38,8.33,0.39,Bo,Norte,C,3,566832
18652,,0.00,5,1,1989,-8.07,42.20,9.51,Apartamento,Media,Amarelo,18.94,9.84,0.28,Bo,Norte,A,0,105784
8938,309.14,132.61,3,2,1966,-8.87,42.24,8.47,Chalet adosado,Alta,Amarelo,60.59,0.05,0.27,Regular,Oeste,B,14,438419
178,120.76,20.00,1,2,1947,-7.64,42.98,12.51,Apartamento,Baixa,Negro,24.52,16.99,0.21,Bo,Norte,B,0,51935
8196,74.33,68.66,1,3,2001,-7.15,42.32,17.07,Chalet adosado,Media,Branco,54.24,15.80,,Regular,Norte,D,12,93204
25680,112.71,5.96,2,3,1991,-8.82,43.74,12.63,Apartamento,Baixa,Azul,13.10,20.63,0.06,Bo,Oeste,C,0,86853
29944,257.58,459.68,1,2,2019,-7.64,43.52,5.37,Casa,Alta,Branco,6.46,15.52,0.23,Bo,Este,C,12,487190
19784,91.33,0.00,6,3,2023,-8.70,41.99,29.89,Apartamento,Media,Vermello,21.12,17.98,0.26,Malo,Sur,D,0,146921
12132,43.57,26.25,1,2,1967,-7.73,41.94,17.86,Apartamento,Media,Verde,9.91,,0.18,Regular,Norte,C,0,52834
296,298.87,326.32,4,3,1963,-7.11,42.80,8.95,Casa,Alta,Amarelo,16.73,20.87,0.77,Regular,Este,B,9,341723
21211,61.52,,5,3,1969,-7.22,42.99,17.17,Apartamento,Media,Amarelo,3.28,21.13,,Bo,Norte,C,0,82075
14509,216.68,29.12,6,2,2024,-7.69,42.71,25.81,Chalet adosado,Media,Negro,60.76,,0.26,Bo,Norte,E,8,333774
26175,148.06,0.00,5,1,1997,-9.25,43.11,27.74,Apartamento,Baixa,Vermello,17.68,2.62,0.24,Regular,Sur,C,0,126554
19151,174.00,81.62,5,1,1999,-7.68,42.05,5.46,Chalet adosado,Media,Vermello,35.85,18.10,0.27,Bo,Norte,B,15,220837
28854,74.72,0.00,1,2,2002,-8.24,42.23,15.64,Apartamento,Media,Amarelo,21.65,14.10,0.25,Bo,Norte,D,0,126074
26111,107.25,1423.43,5,3,2008,-9.23,42.88,24.61,Casa,Alta,Vermello,19.98,,0.45,Bo,Sur,A,13,464473
9889,220.95,,3,1,1952,-7.54,42.97,13.60,Chalet adosado,Media,Vermello,,8.14,0.14,Bo,Sur,E,8,297952
5245,115.10,0.00,1,2,2014,-7.51,42.51,19.07,Apartamento,Baixa,Azul,6.92,7.08,-0.02,Bo,Norte,F,0,82312
26048,279.70,744.87,5,2,1955,-7.59,42.88,19.62,Casa,Alta,Amarelo,,14.61,0.58,Regular,Sur,E,14,447758
24164,80.17,12.68,2,2,2006,-7.87,41.85,9.13,Apartamento,Alta,Azul,5.34,15.30,0.07,Malo,Oeste,A,0,83616
8577,52.53,0.00,3,3,1943,-8.98,43.44,12.66,Apartamento,Alta,Amarelo,0.10,12.29,-0.03,Regular,Este,G,0,81364
24050,50.70,112.89,2,2,1976,-8.88,43.01,11.78,Chalet adosado,Media,Negro,70.42,0.05,0.28,Regular,Norte,D,1,131132
6066,30.00,0.00,4,3,2005,-8.50,42.40,26.48,Apartamento,Alta,Branco,4.18,9.94,0.30,Bo,Sur,C,0,59833
22606,,0.00,2,2,1968,-7.26,43.74,26.97,Apartamento,Alta,Branco,9.98,13.58,0.34,Bo,Norte,A,0,85815
13680,172.02,86.57,4,3,1946,-8.32,43.24,15.73,Chalet adosado,Media,Vermello,17.03,,0.07,Regular,Norte,C,12,216237
43,239.99,1100.24,5,3,1962,-9.15,41.98,8.09,Casa,Media,Vermello,33.46,0.61,0.31,Bo,Sur,E,3,420601
26105,78.00,34.53,5,3,1942,-7.95,42.55,22.80,Apartamento,Media,Vermello,18.25,9.10,0.20,Bo,Norte,G,0,95203
3571,220.61,,6,1,1964,-8.66,42.48,25.03,Casa,Alta,Amarelo,20.98,5.91,0.20,Bo,Norte,E,9,701806
10948,281.57,162.89,1,1,2014,-7.41,42.30,13.39,Chalet adosado,Baixa,Amarelo,10.73,18.07,0.72,Bo,Sur,G,2,145503
22711,36.71,0.00,3,2,1978,-7.40,42.18,15.64,Apartamento,Alta,Amarelo,15.53,8.30,0.24,Regular,Oeste,C,0,72820
8290,140.65,135.25,6,3,1946,-8.03,42.27,15.44,Chalet adosado,Media,Azul,72.35,0.67,0.50,Malo,Este,E,9,200240
4050,102.24,0.00,6,2,1959,-8.80,42.19,29.89,Apartamento,Media,Verde,7.18,,,Bo,Oeste,E,0,109318
10958,245.06,777.35,1,1,1980,-6.76,42.75,17.45,Casa,Media,Negro,60.01,17.11,0.40,Regular,Sur,B,15,310299
27957,242.86,1550.35,5,1,1963,-7.81,43.14,11.83,Casa,Media,Vermello,14.59,12.42,0.01,Bo,Este,C,12,529214
8589,140.14,2524.53,4,3,1990,-7.91,43.10,21.16,Casa,Media,Vermello,3.24,5.25,0.44,Bo,Norte,A,19,513787
17874,104.28,226.69,5,3,1982,-7.85,43.28,25.13,Casa,Baixa,Verde,26.74,14.80,0.58,Bo,Norte,F,5,148989
15629,79.09,28.45,2,1,1991,-7.70,42.16,5.70,Apartamento,Media,Vermello,13.80,0.05,0.03,Regular,Oeste,A,0,78121
5812,204.43,1657.12,4,1,1944,-8.48,42.13,13.66,Casa,Alta,Azul,44.72,20.39,0.51,Bo,Este,E,13,496281
26390,30.00,0.00,3,3,1996,-8.72,43.71,21.46,Apartamento,Alta,Verde,19.68,16.00,-0.20,Bo,Oeste,A,0,94459
27197,73.75,0.00,3,1,1942,-9.24,43.06,21.44,Apartamento,Alta,Negro,20.48,,0.10,Bo,Sur,F,0,58190
10369,142.98,0.00,1,2,1992,-7.22,42.33,11.05,Apartamento,Alta,Amarelo,10.04,10.28,0.31,Regular,Norte,F,0,152538
421,49.38,0.00,6,2,1982,-8.56,42.39,16.30,Apartamento,Media,Azul,0.10,5.27,0.43,Bo,Oeste,D,0,62896
10791,123.59,1605.53,2,1,2024,-8.73,42.64,27.49,Casa,Baixa,Branco,40.78,0.05,0.27,Bo,Este,E,15,341815
29472,253.62,137.83,5,3,1955,-6.79,42.88,26.65,Chalet adosado,Alta,Amarelo,20.92,1.30,-0.07,Bo,Este,C,1,377343
7959,238.95,82.49,6,1,1972,-9.18,42.50,14.81,Chalet adosado,Baixa,Branco,17.05,7.98,0.35,Malo,Sur,B,16,314466
11177,238.99,1438.77,4,2,1993,-8.99,42.75,27.43,Casa,Media,Azul,44.05,2.63,0.36,Regular,Norte,A,17,484950
2475,30.00,0.00,6,2,1979,-7.60,42.38,29.43,Apartamento,Baixa,Branco,,7.22,0.02,Bo,Oeste,E,0,52952
21636,173.68,2118.63,5,1,1948,-7.61,43.28,24.39,Casa,Media,Azul,9.12,7.76,0.30,Bo,Oeste,C,10,535461
19634,209.99,1924.65,5,3,1966,-7.09,42.63,29.03,Casa,Media,Negro,29.14,17.50,0.39,Regular,Sur,E,4,438788
18855,30.00,53.88,3,2,1969,-8.77,43.29,11.89,Apartamento,Alta,Vermello,14.23,14.01,0.11,Bo,Norte,C,0,78765
19973,230.30,121.38,1,1,1972,-7.69,42.62,9.28,Chalet adosado,Alta,Verde,68.41,22.65,0.61,Bo,Sur,A,18,243158
19099,146.74,7.91,5,2,1998,-8.50,43.05,16.50,Apartamento,Baixa,Negro,8.78,7.52,0.06,Bo,Este,B,0,123120
21941,144.58,0.00,2,1,2021,-7.95,42.48,13.34,Apartamento,Alta,Amarelo,8.39,5.83,0.17,Regular,Este,A,0,160852
9198,330.66,103.50,1,1,1969,-8.07,43.11,19.21,Chalet adosado,Media,Vermello,47.08,23.71,0.71,Regular,Este,C,9,284857
2641,,1403.89,6,3,2022,-7.06,42.38,7.28,Casa,Media,Negro,75.91,13.28,0.40,Bo,Este,B,1,527924
21340,128.40,131.06,5,2,1941,-6.87,42.72,29.46,Chalet adosado,Media,Branco,51.12,13.87,0.52,Malo,Oeste,G,4,143080
18150,76.81,0.00,6,3,1994,-6.84,43.62,17.62,Apartamento,Alta,Negro,4.82,13.61,0.25,Bo,Este,D,0,139150
22638,154.31,0.00,1,3,2004,-7.71,43.29,19.75,Apartamento,Media,Azul,11.60,22.70,0.02,Malo,Oeste,D,0,159250
26587,106.94,2587.21,5,2,1986,-9.26,42.04,23.68,Casa,Media,Negro,68.05,2.10,0.18,Regular,Oeste,C,17,470477
8765,229.03,124.92,2,2,2001,-6.85,42.07,17.49,Chalet adosado,Alta,Branco,35.27,13.69,,Regular,Oeste,G,14,215628
15760,66.55,17.40,1,2,1994,-7.21,42.62,11.79,Apartamento,Alta,Branco,12.31,7.78,0.48,Bo,Norte,F,0,85290
88,,13.54,6,1,1968,-8.49,43.02,11.79,Apartamento,Media,Negro,2.21,12.98,0.17,Bo,Norte,A,0,133386
27443,,22.75,1,2,2002,-9.13,43.22,10.62,Apartamento,Alta,Vermello,13.22,,0.09,Bo,Oeste,D,0,62959
24867,114.08,1770.90,4,1,2005,-7.84,42.33,15.21,Casa,Alta,Amarelo,3.75,10.74,0.13,Bo,Este,F,2,362007
480,149.56,12.57,4,3,1971,-8.85,43.63,13.70,Apartamento,Alta,Vermello,6.65,3.55,0.05,Bo,Este,A,0,221067
9060,204.55,,5,1,2021,-8.18,42.29,21.52,Casa,Media,Amarelo,57.69,10.62,0.31,Bo,Este,A,14,516669
13822,90.20,56.41,3,2,1991,-8.12,43.68,26.38,Apartamento,Media,Negro,21.91,3.36,0.14,Bo,Norte,C,0,80652
14783,58.90,2176.42,6,1,1959,-7.99,42.40,14.46,Casa,Media,Branco,32.95,,,Bo,Este,C,15,431363
28998,79.61,0.00,1,2,1980,-7.08,43.20,13.82,Apartamento,Media,Amarelo,21.86,13.79,0.46,Regular,Este,D,0,50000
23733,63.32,34.77,5,3,1957,-6.88,42.19,13.72,Apartamento,Alta,Amarelo,10.03,17.28,0.24,Regular,Sur,C,0,112976
